 ,Label,Area,Mean,X,Y,Angle,Length
1,11068-5695-20268.tif,1183.875,23.998,1626.591,978.230,-25.668,1039.900
2,11781-21347-31550.tif,800.895,23.809,1459.382,856.520,149.036,703.053
3,11921-14358-11211.tif,1223.985,29.587,1482.132,1180.701,-30.527,1074.898
4,12565-10824-10549.tif,856.531,25.335,1316.060,1213.687,-36.142,752.160
5,12730-21151-18085.tif,11.645,21.250,1362.697,1236.437,-14.036,9.380
6,13140-23398-18721.tif,1213.634,28.214,1483.269,820.121,152.122,1065.487
7,13747-4260-19695.tif,1302.910,23.575,1789.251,1096.527,-28.756,1144.383
8,16270-21129-6548.tif,10.351,21.821,1316.060,1112.452,-33.690,8.202
9,1670-20805-25646.tif,875.938,22.444,1421.846,1052.166,148.426,769.032
10,1705-19420-10892.tif,1196.814,21.602,1329.710,896.332,149.270,1050.686
11,18692-24606-28587.tif,1411.594,27.652,1618.629,1302.411,148.964,1239.902
12,19280-31807-10254.tif,1190.345,25.098,1807.450,949.793,-28.740,1045.613
13,19928-7487-20467.tif,1440.058,26.781,1458.245,1052.166,-27.763,1264.892
14,20622-786-29451.tif,1618.610,23.812,1847.262,1230.750,-33.385,1422.201
15,20703-3519-6308.tif,1282.208,26.052,1603.842,1120.414,-34.043,1125.651
16,20742-9796-16324.tif,1390.892,26.806,1477.582,1114.727,143.408,1221.209
17,21013-7500-31411.tif,1295.147,26.333,1822.237,1013.492,147.995,1137.479
18,21290-11874-28544.tif,677.979,23.202,1699.390,1285.349,-38.797,595.464
19,21382-13228-19560.tif,1243.393,25.712,1458.245,1030.554,149.159,1091.646
20,2196-20589-3185.tif,1377.953,34.055,1590.192,1021.454,-29.745,1210.523
21,2487-18113-7987.tif,1005.324,27.672,1645.929,882.682,-27.291,883.165
22,26717-24918-13388.tif,1189.051,25.546,1714.177,1112.452,-30.643,1044.451
23,2679-16524-12000.tif,719.382,20.885,1597.017,944.106,-27.489,630.864
24,29738-7078-24839.tif,14.232,26.273,1568.580,753.009,0.000,11.375
25,29792-3297-7507.tif,1491.812,26.420,1418.433,1070.365,-34.104,1310.535
26,29989-24025-19285.tif,14.232,21.455,1334.260,1185.251,0.000,11.375
27,31886-4569-19187.tif,886.289,26.733,1721.002,1102.215,-37.640,778.559
28,5831-4452-12783.tif,1185.169,26.932,1567.443,1068.090,-31.501,1040.579
29,5913-22022-16101.tif,906.991,22.595,1793.801,978.230,-32.509,795.808
30,6066-27145-31130.tif,9.057,26.571,1495.782,1400.234,18.435,7.194
31,7733-29518-6182.tif,1161.880,21.946,1805.175,953.205,-28.794,1020.197
32,8871-1087-20863.tif,1176.112,30.273,1672.091,1153.401,-28.711,1032.358
